tweet,class,id,preprocessed_tweet
Ismael es egocentrico porque se vuelve loca si le dicen que tiene el pelo bonito😂😂😂😂 eso se define con otro objetivo #FirstDates251,0,id=828025263321657348,ismael es egocentrico porque se vuelve loca si le dicen que tiene el pelo bonito eso se define con otro objetivo firstdates
"..ya tardaba en salir quien pronunciase nombre catalán sílaba aguda como si fuese plana [es Eduááárd],[Ernééést],[Albééért] no son ingleses",0,id=828025128797741057,ya tardaba en salir quien pronunciase nombre catalan silaba aguda como si fuese plana es eduaaard erneeest albeeert no son ingleses
"(Esto no es un discurso político y razonado, obviamente, solo una llamada de atención en plan ""JODER, NO CUESTA TANTO SABER COSAS"")",0,id=828025087815274496,esto no es un discurso politico razonado obviamente solo una llamada de atencion en plan joder no cuesta tanto saber cosas
"Muy despreciados,siiii,pero todos vestidos de alta costura española o extranjera como la derechona burguesa verdad,… https://t.co/5UnIo6C3YF",1,id=828025006626058241,muy despreciados siiii pero todos vestidos de alta costura espanola extranjera como la derechona burguesa verdad
marica explicame porque a veces no te entiendo. — En vez de venir a ensuciar mi cc con insultos homof... https://t.co/hSGMfcEtos,1,id=828024709761658880,marica explicame porque veces no te entiendo en vez de venir ensuciar mi cc con insultos homof
"Abusan de 1400 niñas durante 16 años porque la policía tenía miedo de que les llamasen racistas, eran moros #MuslimBan https://t.co/2LItT1ZqFN",0,id=828024543847600128,abusan de ninas durante anos porque la policia tenia miedo de que les llamasen racistas eran moros muslimban
"Es ridículo, ayer le dije a un árabe que no era necesario comer culos que no iban a discriminarle y me tacharon de racista",0,id=828024390315102208,es ridiculo ayer le dije un arabe que no era necesario comer culos que no iban discriminarle me tacharon de racista
39. Me considero género no binario y mis pronombres son ella/ elle,0,id=828024212824739841,me considero genero no binario mis pronombres son ella elle
@SuperFalete jajajajaja. Te jodes maricon.,1,id=828024204704505858,jajajajaja te jodes maricon
Pero por qué cojones sois tan racistas contra los blancos que hoy en día mucho hetero patriarcado pero se han inver… https://t.co/ujmxe6fNpq,0,id=828024193312751620,pero por que cojones sois tan racistas contra los blancos que hoy en dia mucho hetero patriarcado pero se han inver
"La gente que se pretende burlar del feminismo diciendo ""machista opresor"" es porque no ha cogido un libro en su puta vida y no sabe qué es",0,id=828023983140372484,la gente que se pretende burlar del feminismo diciendo machista opresor es porque no ha cogido un libro en su puta vida no sabe que es
"En qué puto momento tumblr decidió que ""ojos negros como pozos"" y ""piel aceitunada"" era ser BLANCO PAPEL CON OJOS GRISES.",0,id=828023789988478983,en que puto momento tumblr decidio que ojos negros como pozos piel aceitunada era ser blanco papel con ojos grises
Rovira lleva siendo subnormal desde 1980.,1,id=828023192086335490,rovira lleva siendo subnormal desde
"Para el cine serías un progre guay y para lo demás un facha, fascista... https://t.co/ap7WYVzPQW",0,id=828023016785326081,para el cine serias un progre guay para lo demas un facha fascista
el mejor momento del día es irme a la cama mamona,0,id=828022929304727552,el mejor momento del dia es irme la cama mamona
